"area","room","price"
"45","1","1.45"
"50","2","1.9"
"55","2","2.05"
"60","2","2.2"
"65","2","2.4"
"70","3","2.55"
"75","3","2.7"
"80","3","2.9"
"85","3","3.05"
"90","3","3.25"
"95","4","3.4"
"100","4","3.6"
"105","4","3.75"
"110","4","3.95"
"115","4","4.1"
"120","5","4.3"
"125","5","4.5"
"130","5","4.7"
"135","5","4.9"
"140","5","5.05"
"145","5","5.25"
"150","6","5.45"
"155","6","5.65"
"160","6","5.85"
"170","6","6.15"
"180","7","6.5"
"190","7","6.8"
"200","8","7.2"
"210","8","7.5"
"220","9","7.9"
"225","9","8"
"230","9","8.12"
"235","9","8.25"
"240","9","8.37"
"245","10","8.5"
"250","10","8.62"
"255","10","8.75"
"260","10","8.87"
"265","10","9"
"270","10","9.12"
"275","11","9.25"
"280","11","9.37"
"285","11","9.5"
"290","11","9.62"
"295","11","9.75"
"300","11","9.87"
"305","12","10"
"310","12","10.12"
"315","12","10.25"
"320","12","10.37"
"325","12","10.5"
"330","12","10.62"
"335","13","10.75"
"340","13","10.87"
"345","13","11"
"350","13","11.12"
"355","13","11.25"
"360","13","11.37"
"365","14","11.5"
"370","14","11.62"
"375","14","11.75"
"380","14","11.87"
"385","14","12"
"390","14","12.12"
"395","15","12.25"
"400","15","12.37"
"405","15","12.5"
"410","15","12.62"
"415","15","12.75"
"420","15","12.87"
"425","16","13"
"430","16","13.12"
"435","16","13.25"
"440","16","13.37"
"445","16","13.5"
"450","16","13.62"
"455","17","13.75"
"460","17","13.87"
"465","17","14"
"470","17","14.12"
"475","17","14.25"
"480","17","14.37"
"485","18","14.5"
"490","18","14.62"
"495","18","14.75"
"500","18","14.87"
"505","18","15"
"510","18","15.12"
"515","19","15.25"
"520","19","15.37"
"525","19","15.5"
"530","19","15.62"
"535","19","15.75"
"540","19","15.87"
"545","20","16"
"550","20","16.12"
"555","20","16.25"
"560","20","16.37"
"565","20","16.5"
"570","20","16.62"
