Area_m2,Bedrooms,House_Age_Years,Distance_to_City_Center_km,Price_Billion_VND
45,2,15,8.0,2.1
50,2,10,7.0,2.45
55,2,8,6.5,2.8
60,3,12,6.0,3.05
65,3,7,5.5,3.45
70,3,5,5.0,3.9
75,3,10,4.5,4.0
80,3,6,4.0,4.55
85,4,8,3.8,4.85
90,4,5,3.5,5.3
95,4,7,3.0,5.45
100,4,4,2.8,6.0
105,4,6,2.5,6.15
110,5,5,2.2,6.7
120,5,4,2.0,7.3
130,5,3,1.8,8.1
140,5,5,1.5,8.4
150,6,3,1.2,9.2
160,6,2,1.0,10.0
180,6,1,0.8,11.2
48,2,18,9.0,2.05
58,3,14,7.5,2.75
62,2,6,6.8,3.15
68,3,9,5.8,3.65
72,3,4,5.2,4.05
78,3,8,4.8,4.25
82,4,11,4.2,4.6
88,4,3,3.6,5.2
92,3,6,3.2,5.25
98,4,2,2.9,5.9
102,4,8,2.6,5.95
108,5,3,2.4,6.55
115,5,7,2.1,6.85
125,4,2,1.9,7.55
135,5,6,1.6,8.0
145,6,4,1.4,8.7
155,5,2,1.1,9.45
170,6,3,0.9,10.5
190,7,2,0.7,11.8
210,7,1,0.5,13.2
